,tconst,movie_title,start_year,runtime_minutes,genres,directors,writers,release_date,production_budget,domestic_gross,worldwide_gross,year,success
0,tt3844362,The Overnight,2015.0,79.0,"Comedy,Mystery",nm2674307,nm2674307,2015-06-19,200000.0,1109808.0,1165996.0,2015,yes
1,tt0359950,The Secret Life of Walter Mitty,2013.0,114.0,"Adventure,Comedy,Drama",nm0001774,"nm0175726,nm0862122",2013-12-25,91000000.0,58236838.0,187861183.0,2013,yes
2,tt0365907,A Walk Among the Tombstones,2014.0,114.0,"Action,Crime,Drama",nm0291082,"nm0088747,nm0291082",2014-09-19,28000000.0,26017685.0,62108587.0,2014,yes
3,tt0369610,Jurassic World,2015.0,124.0,"Action,Adventure,Sci-Fi",nm1119880,"nm0415425,nm0798646,nm1119880,nm2081046,nm0000341",2015-06-12,215000000.0,652270625.0,1648854864.0,2015,yes
4,tt0398286,Tangled,2010.0,100.0,"Adventure,Animation,Comedy","nm1977355,nm0397174","nm1557594,nm0342278,nm0342303",2010-11-24,260000000.0,200821936.0,586477240.0,2010,yes
5,tt0431021,The Possession,2012.0,92.0,"Horror,Mystery,Thriller",nm0097079,"nm0925482,nm1757236,nm1340000",2012-08-31,14000000.0,49130588.0,82925064.0,2012,yes
6,tt0433035,Real Steel,2011.0,127.0,"Action,Drama,Family",nm0506613,"nm0309691,nm0319659,nm0505230,nm0558577",2011-10-07,110000000.0,85463309.0,263880341.0,2011,yes
7,tt0435651,The Giver,2014.0,97.0,"Drama,Romance,Sci-Fi",nm0637518,"nm2276729,nm0004332,nm0523342",2014-08-15,25000000.0,45090374.0,66540205.0,2014,yes
8,tt0435761,Toy Story 3,2010.0,103.0,"Adventure,Animation,Comedy",nm0881279,"nm0005124,nm0004056,nm0881279,nm1578335",2010-06-18,200000000.0,415004880.0,1068879522.0,2010,yes
9,tt0437086,Alita: Battle Angel,2019.0,122.0,"Action,Adventure,Sci-Fi",nm0001675,"nm0000116,nm0436164,nm1738737",2019-02-14,170000000.0,85710210.0,402976036.0,2019,yes
10,tt0443272,Lincoln,2012.0,150.0,"Biography,Drama,History",nm0000229,"nm1065785,nm0329447",2012-11-09,65000000.0,182207973.0,273346281.0,2012,yes
11,tt0448115,Shazam!,2019.0,132.0,"Action,Adventure,Comedy",nm2497546,"nm2849655,nm0501359,nm1791910,nm1304148",2019-04-05,85000000.0,139606856.0,362899733.0,2019,yes
12,tt0448694,Puss in Boots,2011.0,90.0,"Action,Adventure,Animation",nm3735491,"nm1117226,nm0528244,nm0204030,nm0011470,nm0674518,nm0825738",2011-10-28,130000000.0,149260504.0,554987477.0,2011,yes
13,tt0451279,Wonder Woman,2017.0,141.0,"Action,Adventure,Fantasy",nm0420941,"nm0374302,nm0811583,nm0297229,nm0551376,nm4243936",2017-06-02,150000000.0,412563408.0,821133378.0,2017,yes
14,tt0453562,42,2013.0,128.0,"Biography,Drama,Sport",nm0001338,nm0001338,2013-04-12,31000000.0,95020213.0,97470701.0,2013,yes
15,tt0454876,Life of Pi,2012.0,127.0,"Adventure,Drama,Fantasy",nm0000487,"nm1674631,nm1341735",2012-11-21,120000000.0,124987022.0,620912003.0,2012,yes
16,tt0455407,The Crazies,2010.0,101.0,"Horror,Thriller",nm0252135,"nm0466925,nm1242522,nm0001681",2010-02-26,19000000.0,39123589.0,56445534.0,2010,yes
17,tt0455944,The Equalizer,2014.0,132.0,"Action,Crime,Thriller",nm0298807,"nm0921013,nm0805994,nm2030456",2014-09-26,55000000.0,101530738.0,192903624.0,2014,yes
18,tt0458339,Captain America: The First Avenger,2011.0,124.0,"Action,Adventure,Sci-Fi",nm0002653,"nm1321655,nm1321656,nm0800209,nm0456158",2011-07-22,140000000.0,176654505.0,370569776.0,2011,yes
19,tt0464154,Piranha 3D,2010.0,88.0,"Comedy,Horror",nm0014960,"nm1539257,nm0831457",2010-08-20,24000000.0,25003155.0,83660160.0,2010,yes
20,tt0472181,The Smurfs,2011.0,103.0,"Adventure,Animation,Comedy",nm0331532,"nm0826425,nm0918955,nm0771065,nm0740115,nm0678963",2011-07-29,110000000.0,142614158.0,563749323.0,2011,yes
21,tt0475290,"Hail, Caesar!",2016.0,106.0,"Comedy,Drama,Music","nm0001053,nm0001054","nm0001054,nm0001053",2016-02-05,22000000.0,30080225.0,64160680.0,2016,yes
22,tt0478970,Ant-Man,2015.0,117.0,"Action,Adventure,Comedy",nm0715636,"nm0942367,nm0180428,nm0570912,nm0748620,nm0498278,nm1293367,nm0456158",2015-07-17,130000000.0,180202163.0,518858449.0,2015,yes
23,tt0479997,Season of the Witch,2011.0,95.0,"Action,Adventure,Fantasy",nm0784061,nm0776885,2011-01-07,40000000.0,24827228.0,91126600.0,2011,yes
24,tt0481499,The Croods,2013.0,98.0,"Action,Adventure,Animation","nm0761498,nm0210320","nm0761498,nm0210320,nm0000092",2013-03-22,135000000.0,187168425.0,573068425.0,2013,yes
25,tt0498381,Rings,2017.0,102.0,"Drama,Horror,Mystery",nm1279573,"nm0521649,nm1096524,nm0326040,nm0840626",2017-02-03,25000000.0,27793018.0,82917283.0,2017,yes
26,tt0770828,Man of Steel,2013.0,143.0,"Action,Adventure,Sci-Fi",nm0811583,"nm0333060,nm0634240,nm0796950,nm0795975",2013-06-14,225000000.0,291045518.0,667999518.0,2013,yes
